QC_Group,Modality,N,Macro_Avg_AUC,Weighted_Avg_AUC,Q1_AUC,Q2_AUC,Q3_AUC,Q4_AUC
ALL,CT,70,0.6825710630164015,0.684299191374663,0.8269230769230769,0.5349611542730299,0.709211986681465,0.6591880341880342
ALL,Synth-MR,70,0.792111032850489,0.795288202363674,0.90491452991453,0.6792452830188679,0.6825749167591564,0.9017094017094017
LOW,CT,32,0.5833333333333333,0.5833333333333333,0.75,0.41666666666666663,0.453125,0.7135416666666667
LOW,Synth-MR,32,0.7734375,0.7734375,0.9635416666666667,0.5833333333333333,0.640625,0.90625
HIGH,CT,38,0.8185002736726875,0.8190303344568317,0.8321428571428572,0.8045977011494253,0.8122605363984674,0.8250000000000001
HIGH,Synth-MR,38,0.8156403940886698,0.820456313196785,0.9,0.7318007662835249,0.7164750957854406,0.9142857142857143
