Metric,QC_Group,N,ICC_CT_vs_MR,ICC_Gen_vs_MR,Pearson_CT,Pearson_Gen,MAE_CT,MAE_Gen
Volumes,LOW QC (0.7-0.80),48,0.2928358148071582,0.8207434861636734,0.295431666302195,0.8420211440900621,0.0009372128625598858,0.00030924856045590866
Volumes,HIGH QC (0.80+),48,0.7263398364895561,0.8341547762196735,0.7320275634080008,0.8522260800655054,0.0005763464214514304,0.0002836520963449113
Volumes,ALL,96,0.4684359397950304,0.8267403336448944,0.4702967635794954,0.8461133560192869,0.0007567796420056582,0.00029645032840040997
Z-scores,LOW QC (0.7-0.80),27,0.3144833444399047,0.7292706777106043,0.34320215730387915,0.7878996506121806,1.7362663892516659,0.7456678501661241
Z-scores,HIGH QC (0.80+),43,0.6560673615874826,0.8115998228771903,0.6909937775513224,0.8382437617136217,1.155215096493988,0.6056551681043114
Z-scores,ALL,70,0.49634489345916505,0.7787161113091086,0.5395075866308406,0.819024501313077,1.3793348808433783,0.659660059756725
