Comparison,N_Raw,ICC_Raw,r_Raw,Bias_Raw_mm3,RMSE_Raw_mm3,N_Zscore,ICC_Zscore,r_Zscore,Bias_Zscore,Agreement_Pct,Kappa
MR-Generated vs MR-Real,105,0.8347389354618607,0.8558831019774698,-367.5596095238095,811.1993856096984,83,0.8331814080895487,0.8574561672369219,-0.38868381098644894,90.36144578313254,0.44666666666666666
CT vs MR-Real,91,0.5189103484109278,0.5277239722335917,-1988.3518571428567,2255.439886209995,72,0.5292075456569609,0.5462724102329743,-1.3576565598575603,59.72222222222222,0.10309278350515472
CT vs MR-Generated,88,0.5955200835128923,0.5955509630703604,-1601.5922840909088,1835.337998748574,70,0.625504314248923,0.6255518290305384,-0.928393494649885,58.57142857142858,0.04694835680751175
