subject_id,qc_group,qc_score,dice_ct_vs_real,dice_gen_vs_real,hausdorff_ct_vs_real,hausdorff_gen_vs_real
sub-1369564,LOW,0.7538374999999999,0.5717162032598274,0.7210638922683223,20.83266665599966,4.123105625617661
sub-1394060,LOW,0.7975125,0.7159838675440459,0.7483283263882159,21.42428528562855,4.58257569495584
sub-42566,HIGH,0.8143875,0.6428767499313752,0.7414174156475615,45.0,4.0
sub-1027483,LOW,0.7991125,0.8078945941549639,0.7839129550538947,4.0,4.242640687119285
sub-1320667,LOW,0.782,0.7471118123059698,0.78125,44.294469180700204,3.7416573867739413
sub-1369296,LOW,0.7963125,0.825289895085588,0.7595190380761523,27.386127875258307,3.605551275463989
sub-1301416,LOW,0.7894124999999999,0.7930225563909774,0.7589886337276734,41.49698784249286,4.898979485566356
sub-213332,HIGH,0.8063375,0.7961849710982659,0.7477103301384451,4.0,4.358898943540674
sub-1309950,LOW,0.7484875,0.7474093264248705,0.8228576448368252,20.322401432901575,5.0990195135927845
sub-23441,HIGH,0.8019000000000001,0.7705230258338623,0.7401259301659988,5.0,4.123105625617661
sub-1358998,LOW,0.7983125,0.7590863719100464,0.6512732696238193,68.24954212300622,5.196152422706632
sub-1285588,LOW,0.7716500000000001,0.8001140250855188,0.7050783303543265,23.021728866442675,4.123105625617661
sub-789278,HIGH,0.8177625000000001,0.7804154302670623,0.7486494450446911,31.921779399024736,4.358898943540674
sub-1164158,LOW,0.7674999999999998,0.7518347661983644,0.7627630553390491,66.60330322138685,4.123105625617661
sub-765723,HIGH,0.8124124999999999,0.7848722986247544,0.7642390289449112,56.859475903318,3.605551275463989
sub-813894,HIGH,0.809,0.6952818134494345,0.8145896656534954,6.4031242374328485,4.123105625617661
sub-868320,LOW,0.7875375,0.7724947336743906,0.8154463390170511,19.209372712298546,4.123105625617661
sub-850648,HIGH,0.8082125000000001,0.7435909153223964,0.811579818031431,5.916079783099616,4.58257569495584
sub-1411167,LOW,0.7723500000000001,0.7411284923002008,0.7519258740505306,30.364452901377952,5.744562646538029
sub-1294361,LOW,0.7467374999999998,0.41814422655222105,0.8095238095238095,24.454038521274967,4.123105625617661
sub-1361970,LOW,0.7953375,0.7658410278958425,0.8260233227892922,5.385164807134504,3.7416573867739413
sub-1126260,LOW,0.7973625000000001,0.6594797869006581,0.7258182578688696,14.628738838327793,5.196152422706632
sub-1333380,HIGH,0.79945,0.7577401851260772,0.6611643988400625,27.784887978899608,6.164414002968976
sub-1206913,LOW,0.7684500000000001,0.6736706886268753,0.8090509523034348,8.774964387392123,4.358898943540674
sub-995762,LOW,0.7800374999999999,0.618905472636816,0.8128502054538662,8.48528137423857,4.123105625617661
sub-1358978,HIGH,0.8142749999999999,0.6553748318454201,0.8023715415019763,51.28352561983234,4.242640687119285
sub-752504,HIGH,0.8118750000000001,0.5804528671204235,0.7877191467311512,6.708203932499369,4.358898943540674
sub-660318,LOW,0.7070375,0.26970525676086293,0.8410233789148654,25.67099530598687,3.7416573867739413
sub-1360552,HIGH,0.8109,0.7713675213675214,0.7872330213582913,21.095023109728988,3.3166247903554
sub-629621,LOW,0.766025,0.6924428822495606,0.7667316990414793,8.366600265340756,3.7416573867739413
sub-909203,HIGH,0.8112875,0.7473062970382803,0.6826991374936581,44.24929377967517,4.242640687119285
sub-1381141,LOW,0.7923874999999999,0.6876975371220705,0.7265544486430779,62.13694553162394,4.358898943540674
sub-1296055,LOW,0.7948125000000001,0.5990414366316811,0.7424860455130957,52.08646657242167,4.898979485566356
