QC_Group,Modality,N,N_Atrophy,N_Normal,AUC,Optimal_Threshold,Sensitivity,Specificity
ALL,CT,70,9,61,0.7759562841530054,-1.826249351685192,1.0,0.5901639344262295
ALL,Synth-MR,70,9,61,0.848816029143898,-1.3611967980416042,0.8888888888888888,0.7704918032786885
LOW,CT,32,4,28,0.7142857142857142,-1.826249351685192,1.0,0.5714285714285714
LOW,Synth-MR,32,4,28,0.9285714285714286,-0.7952693902586656,1.0,0.8214285714285714
HIGH,CT,38,5,33,0.8303030303030303,-2.0094242825484763,1.0,0.6060606060606061
HIGH,Synth-MR,38,5,33,0.8,-1.393107408655367,1.0,0.6363636363636364
