QC_Group,N,Dice_CT_mean,Dice_CT_std,Dice_Gen_mean,Dice_Gen_std,HD_CT_mean,HD_CT_std,HD_Gen_mean,HD_Gen_std
LOW,48,0.6928404433787994,0.1266240899503861,0.7603118014458893,0.05172661677718742,27.686226819055832,18.848611065225192,4.320220370762539,0.6859285600528854
HIGH,48,0.7631050474339549,0.05130539761656939,0.754281608841997,0.0540106425159894,30.460534159891523,22.9682858211037,4.204698880798936,0.9826619453646958
ALL,96,0.7279727454063772,0.10238154835143218,0.7572967051439431,0.052689153941699395,29.073380489473678,20.9452671462834,4.262459625780738,0.8449107215655333
