QC Group,Comparison,N,ICC,Pearson r,MAE
LOW QC,CT vs MR-Real,51,-0.12545861022800758,-0.1283289887930176,0.001288796237064591
LOW QC,MR-Gen vs MR-Real,51,0.8180905566359951,0.8516724927189746,0.00033608507752405463
HIGH QC,CT vs MR-Real,51,0.7288955607854046,0.7338441296653371,0.0005730880886361412
HIGH QC,MR-Gen vs MR-Real,51,0.8311362269506578,0.8474521627245714,0.00028037856946969993
ALL,CT vs MR-Real,102,0.09396172064599004,0.09516189443660367,0.000930942162850366
ALL,MR-Gen vs MR-Real,102,0.8273013223521171,0.8516434435690353,0.00030823182349687736
