"run_name","target_var","model_method","n","mean_z","sd_z","min_z","max_z","AIC","SBC"
"hippocampus_etiv_ratio__all","hippocampus_etiv_ratio","all",5716,0.000159766687689854,1.00010808156073,-4.20313034662185,4.11718105226646,-70121.3731107031,-69934.955972108
"hippocampus_etiv_ratio__synthseg","hippocampus_etiv_ratio","synthseg",2637,-0.000268146657257314,1.00052165123936,-3.25983113388145,3.48738354637038,-33346.0069297549,-33183.0074808209
"hippocampus_etiv_ratio__fastsurfer","hippocampus_etiv_ratio","fastsurfer",3079,0.000232164654269263,1.00042840412403,-3.96803634334318,4.01733509109742,-38088.0092852308,-37920.6707406495
"ilv_to_hippocampal_ratio__fastsurfer","ilv_to_hippocampal_ratio","fastsurfer",3079,0.000754546479074506,1.00011860692823,-3.89011966844023,3.39747576585444,-8517.56602161164,-8403.85923922776
