"Model","AIC","BIC","Deviance","df_used","Delta_BIC"
"M1_base",-28898.9250640817,-28812.8870080936,-28928.9250644962,15.0000002072555,0
"M2_sigma_pb",-28902.4683489122,-28762.5849647536,-28951.2432954698,24.387473278813,50.3020433399761
"M3_interaction",-28901.1208310033,-28755.5155310469,-28951.8909118575,25.38504042708,57.3714770467268
"M4_nu_age",-28900.4991366553,-28754.9065909538,-28951.2647703186,25.3828168316513,57.9804171397518
