participant_id	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-0871	0.336771841	3.707997313	0.490651869	8217.870117	4.64832815	4.308874667	5.053674667	4.582435116	0.240860864	0.408239704	0.350899432	1.326794624	0.44743495	0.000336126	0.008565629	23.84125922	13.74649918	18.5479549	240	256	208	4.04963877	13.49120205	13.62999201	23.3491352	50.11362929	103.5553149	97.81594663	139.7788957	0.9375	0.9375	1.000022888	28.15094094	4.686962605	6.03599453	3.285518408	3367639	0	16.06387348	5.905026436	-0.232181632	96.00641632	371.7124329	358.5218506	50271	249.0435944	523.2835083	88.53092957	0.371123454	52.57509995	742.7423706	740.8532104	27477	655.8161133	834.6981079	54.91280365	1.217694772	34.6993103	994.4174194	1000.003174	214150	909.2470245	1053.580127	42.82817459	0.226923272	0.499604613	0.53995353	0.699346142
sub-0872	0.439537858	2.890430945	0.512182949	6451.231445	4.655835117	4.314442667	5.050592	4.602470684	0.245423532	0.404043026	0.350533442	1.417917848	0.662674761	0.000241317	0.008114934	22.96764849	13.50318764	17.92033312	240	256	208	4.195516297	11.81877759	11.93546622	19.79210477	44.61137918	84.21869873	79.78577816	110.5272566	0.9375	0.9375	0.999954224	197.0682112	5.927402496	7.062290668	4.007597446	2783703	0	19.92284718	8.507332802	11.06275616	111.0066299	401.6143494	403.6252747	56186	255.6957932	551.9655304	96.20310211	-0.071092216	62.18558884	767.5484009	761.9758911	29367	666.7575989	879.3902649	64.47053528	0.748695848	42.4371376	996.2546997	1000.004822	219231	900.754303	1072.302551	50.52532578	0.218684018	0.478792638	0.512739182	0.627542636
sub-0873	0.354133601	3.447952961	0.525606921	3495.141602	4.916871156	4.502176	5.468693333	4.779744134	0.235156014	0.403127403	0.361716584	1.322335243	0.501502126	0.000362001	0.009263362	20.29228741	11.54077602	15.00729193	240	256	208	3.960948164	12.4762792	12.69192376	21.6385439	45.11597117	94.82783533	89.37424697	128.1789344	0.9375	0.9375	1.000030518	12.57366232	5.111150742	6.893185616	6.892391682	3092920	0	17.43374949	6.544811726	-0.494630139	98.02073669	367.6967773	351.9794312	81062	250.2225273	520.2121124	88.86186981	0.323845339	56.55181122	742.9126587	739.8144531	40715	649.9083557	843.4572998	59.29695511	1.372377835	35.5915947	993.8519897	1000.008362	279397	898.2184082	1057.258594	46.21413422	0.219177514	0.483662665	0.513109088	0.699729603
sub-0874	0.317891658	4.103103062	0.455048551	24884.05078	4.724825432	4.520426667	5.029802667	4.624246961	0.251959877	0.382774156	0.365265967	1.341644883	0.390697408	0.01730762	0.008226033	26.86617378	16.64073708	20.86242799	240	256	208	4.167512136	14.87812526	16.82081683	31.4168131	42.11749572	92.98896782	86.20765058	123.5164882	0.9375	0.9375	0.999946594	239.0973184	5.304080009	3.76083374	3.57754755	2919081	0	10.75637817	7.406200886	0.729155126	82.39020538	354.6033936	340.9894104	50953	245.4883728	495.2970581	81.8200531	0.212428784	50.56900787	749.2669678	752.8522949	23442	658.8003967	825.1187286	50.60020828	1.085889545	27.99959183	997.9237671	1000.007568	204926	941.9526672	1046.370544	31.8302536	0.217061058	0.47002697	0.523855448	0.633920988
sub-0875	0.412288111	3.297817575	0.449127387	39232.72266	4.411270998	4.164490667	4.842453333	4.226868994	0.237637535	0.38659267	0.375769795	1.27243197	0.350771153	1.07E-05	0.006321618	27.59059935	16.41088359	20.43209207	240	256	208	3.219199716	11.47640181	14.6275537	29.18705958	50.75344819	118.1401887	108.48554	156.5629832	0.9375	0.9375	0.999969482	385.1941306	4.184537888	4.14735508	2.82242775	4113474	0	11.29954753	6.41008997	1.175093859	81.67732239	345.9406738	324.1763611	46313	214.2341003	534.05896	100.6998291	-0.421856487	72.08130646	757.3759155	754.5941772	18253	655.0044312	865.6790894	65.75000763	1.484607893	29.10122681	998.4219971	1000.01123	209781	939.1282959	1051.211914	34.26206207	0.237172887	0.478244334	0.561088562	0.655422132
sub-0876	0.364629896	3.600314863	0.487443874	23192.70898	4.830842125	4.501813333	5.296714667	4.693998375	0.234605867	0.392335265	0.373058867	1.151252389	0.382981753	0.029992702	0.006743877	21.67630402	12.592047	15.77758118	240	256	208	3.64955869	13.19072642	15.08257466	28.40743888	36.89744167	86.73952412	79.41450982	114.6065637	0.9375	0.9375	1.000015259	35.47649993	5.716443062	4.452586651	3.855682135	4477905	0	11.68433094	5.481219292	0.606213979	73.30112457	346.3787231	321.9514771	84209	240.9819702	519.0083618	88.21602631	-0.203050466	58.88882828	757.6055298	756.852417	25203	665.2077942	853.2087769	57.37647629	1.528980578	29.77312088	998.5759888	1000.008423	269082	937.8186249	1052.744482	35.20227814	0.214433476	0.446571618	0.502473116	0.679191763
sub-0877	0.342116169	3.416142726	0.504819062	11957.35645	4.754757909	4.589248	5.069536	4.605489726	0.204764431	0.42433142	0.370904149	1.214006424	0.470744634	0	0.009259654	24.64584107	12.36483667	16.29891474	240	256	208	3.213787686	13.52689855	11.69231855	18.33626942	46.95791881	114.5360819	105.6947695	155.5903076	0.9375	0.9375	1.000015259	23.68036448	4.210671902	5.206833839	2.840054989	3821393	0	14.16453838	5.494228363	0.923809802	61.25009537	336.6593628	301.8064575	42892	233.9535904	524.2446838	93.90879822	0.007318657	53.99490356	738.5961304	736.1427002	42818	653.0222534	831.6635834	54.42002106	1.883237088	36.27669907	987.2508545	1000.005127	252167	864.9013489	1050.19248	54.53689194	0.23672156	0.501968265	0.532313347	0.685467864
sub-0878	0.413185794	3.162703594	0.454184648	10381.89551	4.216271481	4.040949333	4.537269333	4.070595775	0.203392759	0.40016038	0.396446861	1.259426355	0.399828041	1.38E-05	0.006066315	27.96541697	14.42308942	17.75105715	240	256	208	2.809842323	11.74184005	14.4344672	28.75171922	54.12131909	117.2435009	108.1678235	153.1386504	0.9375	0.9375	1.000030518	33.72910775	4.278089523	4.987056255	2.885527372	4437753	0	14.38305035	5.642315865	43.40496375	117.1007385	374.7497253	353.4162598	29344	224.8988205	563.4550446	125.7758255	-0.27260021	67.67042542	765.9157715	765.6088257	16159	659.9063477	875.6420776	65.20146179	1.558470342	29.17950249	998.7496338	1000.006836	236409	939.2051758	1052.26814	34.78069305	0.227665961	0.482765973	0.544905484	0.66598551
sub-0879	0.383244828	3.489352777	0.456431908	9930.986328	4.51853177	4.451050667	4.648714667	4.455829976	0.206600989	0.417519609	0.375879402	1.353380322	0.413101625	3.66E-06	0.010009467	27.8227711	14.26985841	18.75626561	240	256	208	2.683807035	13.21423052	14.49086434	27.57455547	55.37911301	114.7692414	106.986153	150.8101047	0.9375	0.9375	0.999961853	197.7372145	4.344140053	5.559028625	2.93007803	4106898	0	14.75941887	7.680403709	41.78110244	119.3345718	386.089447	367.2130432	28708	226.0914261	571.4037079	136.8230438	-0.298291499	60.67195129	761.543396	761.0227051	24678	669.670694	858.0363037	57.58998108	1.315856894	30.91710663	996.8763428	1000.005859	226252	930.7238403	1049.98139	36.26544952	0.225298449	0.502736688	0.546713531	0.667061191
sub-0880	0.369877774	3.373874846	0.500007264	11770.42285	4.585762366	4.295456	5.061834667	4.399996431	0.229871825	0.391535614	0.378592561	1.212159157	0.408354431	0	0.004931849	22.54801276	13.03260156	16.44713952	240	256	208	3.011723334	12.18891872	13.8002818	26.20020334	49.75388331	121.6115166	110.8836373	161.2855119	0.9375	0.9375	1.000007629	70.03530076	4.062021732	5.088397503	2.73979187	4393561	0	13.67938709	5.697091579	0.272699945	73.95869446	343.9463806	308.4874573	42604	227.5472321	548.0851471	102.427681	0.098121945	59.7271347	755.3192139	754.0241089	17389	656.7175537	863.48302	61.85966492	1.802729057	31.25889206	996.1243896	1000.01355	261908	925.382724	1049.570093	38.16808701	0.233605281	0.480063409	0.550723553	0.714993521
